Bought Item,Confidence,Expected To Be Bought,Lift,Support,_id
Aloo Chaat,0.1654929577464789,Vegetable Roll,7.752129912341181,0.003508248115249683,0
Aloo Gobi,0.11219512195121953,Tandoori Roti,3.310744600838079,0.005150406807494215,1
Vegetable Biryani,0.153125,Aloo Gobi,3.3356351626016263,0.0036575352690900948,2
Bhuna,0.1072961373390558,Saag Bhajee,6.195889447979872,0.003732178846010301,3
Bhuna - Chicken Tikka,0.32812499999999994,Mushroom Rice,3.0274728822314043,0.0031350302306486525,4
Bhuna - Chicken Tikka,0.3203125,Saag Bhajee,18.496666217672413,0.003060386653728447,5
King Prawn Shaslick,0.4329268292682926,Bombay Aloo,3.3104570386457284,0.005299693961334627,6
Masala Sauce,0.39999999999999997,Bombay Aloo,3.0586757990867577,0.006270060461297305,7
Cauliflower Bhajee,0.2877358490566038,Chicken Tikka (Main),4.788567912809095,0.004553258192132567,8
Cauliflower Bhajee,0.2877358490566038,Saag Bhajee,16.615505042290177,0.004553258192132567,9
Chana Masala,0.17941952506596306,Tarka Dall,4.5959529202843346,0.005075763230574009,10
Chicken Shashlick,0.2322946175637394,King Prawn Shaslick,18.975920679886688,0.006120773307456894,11
Lamb Tikka,0.17916666666666667,Chicken Tikka,3.468635597302505,0.0032096738075688587,12
Saag Bhajee,0.3146551724137931,Chicken Tikka (Main),5.236565645748554,0.005448981115175039,13
Chicken Tikka Garlic,0.373134328358209,Onion Chutney,4.843876547495083,0.005598268269015451,14
Chicken Tikka Garlic,0.20398009950248758,Red Sauce,4.109355478247859,0.003060386653728447,15
Dhansak Sauce,0.5714285714285714,Mint Sauce,5.232692119910165,0.0035828916921698886,16
Dhansak Sauce,0.5238095238095238,Onion Chutney,6.7998800295311925,0.003284317384489065,17
Dhansak Sauce,0.48809523809523814,Red Sauce,9.833100608664518,0.003060386653728447,18
Korma Sauce,0.24074074074074076,French Fries,6.154968900197908,0.003881465999850713,19
Keema Rice,0.3333333333333333,Keema Naan,3.2787567302985803,0.009106516384265134,20
Keema Rice,0.26775956284153,Meat Samosa,3.009374885392599,0.0073150705381801896,21
Lime Pickle,0.5561643835616439,Mango Chutney,3.601224865430325,0.015152646114801821,22
Lime Pickle,0.4986301369863014,Mint Sauce,4.566061479976404,0.013585130999477495,23
Lime Pickle,0.4191780821917808,Onion Chutney,5.441597642561325,0.01142046726879152,24
Lime Pickle,0.2958904109589041,Red Sauce,5.960968173859306,0.00806150630738225,25
